x,q
0.025384072,9.659691894
0.031965977,9.022256179
0.034676868,8.682755406
0.038185438,8.353919692
0.040898755,8.030733791
0.044327024,7.71344397
0.047708346,7.383335029
0.051089667,7.053226088
0.054471564,6.715678073
0.057899417,6.403768297
0.061360898,6.044475932
0.065170451,5.696834797
0.068154011,5.365772129
0.072053751,5.007945482
0.075814711,4.650521188
0.082327687,4.403188559
0.088971201,4.237919199
0.094198658,4.029515709
0.100369665,3.904289005
0.104999716,3.699423861
0.111170472,3.577427822
0.116072901,3.38576225
0.123028582,3.266737054
0.132486327,3.013343572
0.139736251,2.886414359
0.147822281,2.744827233
0.154785919,2.682760631
0.166934145,2.389856121
0.174021576,2.291789088
0.181669448,2.201174135
0.189059138,2.111144424
0.196449025,2.018578665
0.203838911,1.926012905
0.211228503,1.837251218
0.218618291,1.745953483
0.226007981,1.655923772
0.233396199,1.584914422
0.240783633,1.524049266
0.248171361,1.459380036
0.255559089,1.394710807
0.262946916,1.328773554
0.270334546,1.265372349
0.277721685,1.208311264
0.285108236,1.158858325
0.292494493,1.113209457
0.29988075,1.067560589
0.307267105,1.020643698
0.314653263,0.976262854
0.32203952,0.930613986
0.329425286,0.891305239
0.33681066,0.857068589
0.344195936,0.824099962
0.351581114,0.79239936
0.358966389,0.759430733
0.366351469,0.728998155
0.373736549,0.698565576
0.381121236,0.673205094
0.388505629,0.651648684
0.39589012,0.628824251
0.403274905,0.602195744
0.4106592,0.581907359
0.418043985,0.555278853
0.425428575,0.531186395
0.432812575,0.514702082
0.440196968,0.493145672
0.447581263,0.472857286
0.454965067,0.458909021
0.462349264,0.43988866
0.469733461,0.420868298
0.477116971,0.410724105
0.484501266,0.39043572
0.491884482,0.384095599
0.499267992,0.373951406
0.506652091,0.356199069
0.514035404,0.348590924
0.52141862,0.342250804
0.528801444,0.34098278
0.53618515,0.328302539
0.543567875,0.328302539
0.550950601,0.328302539
0.558334013,0.31942637
0.562696925,0.314354274
0.591894308,0.287725768
0.599278112,0.273777502
0.606660936,0.272509478
0.614043661,0.272509478
0.621427073,0.26363331
0.628810191,0.258561213
0.636192916,0.258561213
0.643575641,0.258561213
0.650958661,0.254757141
0.658342171,0.244612948
0.665724896,0.244612948
0.673107622,0.244612948
0.680490347,0.244612948
0.687873073,0.244612948
0.6952557,0.245880972
0.702639014,0.238272828
0.710022328,0.230664683
0.717405053,0.230664683
0.724787778,0.230664683
0.732170504,0.230664683
0.739553229,0.230664683
0.746935954,0.230664683
0.754319661,0.217984442
0.761702484,0.216716418
0.76908521,0.216716418
0.776467935,0.216716418
0.781501611,0.216716418
